trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
119,False,"{'a': 0.002, 'e': 0.7897806739328027}",25,0,-74.1699436682014,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
120,False,"{'a': 0.002, 'e': 0.7882026910937704}",25,0,-138.91928935022625,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
121,False,"{'a': 0.002, 'e': 0.7866278610665535}",20,6,-3.312262850900682,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.002, 'e': 0.7850561775518295}",25,0,-99.73848764238892,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
123,False,"{'a': 0.002, 'e': 0.7834876342628625}",25,1,-115.43309293446966,"{0: 12, 1: 1, 2: 10, 3: 1, 4: 0}",1
124,False,"{'a': 0.002, 'e': 0.7819222249254772}",25,0,-190.95528125627527,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
125,False,"{'a': 0.002, 'e': 0.7803599432780343}",25,1,-2.883679473453858,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.002, 'e': 0.7788007830714049}",25,14,-64.33368154253253,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 1}",1
127,False,"{'a': 0.002, 'e': 0.7772447380689461}",25,0,-29.992197316326802,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
128,False,"{'a': 0.002, 'e': 0.775691802046476}",20,0,-85.71222701393266,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
129,False,"{'a': 0.002, 'e': 0.7741419687922484}",30,0,-143.4176352063922,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
130,False,"{'a': 0.002, 'e': 0.772595232106928}",20,0,-69.64945856617393,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
131,False,"{'a': 0.002, 'e': 0.7710515858035663}",25,0,-81.9304518116236,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
132,False,"{'a': 0.002, 'e': 0.7695110237075758}",20,4,-69.84499604024676,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 1}",1
133,False,"{'a': 0.002, 'e': 0.7679735396567061}",20,0,-47.514905738449215,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
134,False,"{'a': 0.002, 'e': 0.7664391275010192}",35,0,-105.35873625390624,"{0: 22, 1: 6, 2: 6, 3: 0, 4: 1}",0
135,False,"{'a': 0.002, 'e': 0.764907781102864}",20,0,-150.27885008480354,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
136,False,"{'a': 0.002, 'e': 0.7633794943368531}",25,6,-40.293285032513126,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 0}",1
137,False,"{'a': 0.002, 'e': 0.7618542610898376}",20,7,-8.2190479553044,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
138,False,"{'a': 0.002, 'e': 0.7603320752608821}",30,11,-72.06814413569343,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 2}",1
139,False,"{'a': 0.002, 'e': 0.7588129307612413}",20,0,-141.02757453520044,"{0: 9, 1: 6, 2: 2, 3: 1, 4: 2}",0
140,False,"{'a': 0.002, 'e': 0.7572968215143355}",20,0,-99.91031565951097,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
141,False,"{'a': 0.002, 'e': 0.7557837414557255}",25,0,-81.88741359237251,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
142,False,"{'a': 0.002, 'e': 0.754273684533089}",25,11,1.9364929961309083,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.002, 'e': 0.7527666447061963}",20,0,-116.49987315401063,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
144,False,"{'a': 0.002, 'e': 0.751262615946886}",30,0,-53.83532736734779,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
145,False,"{'a': 0.002, 'e': 0.7497615922390413}",30,0,-49.60591702989134,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
146,False,"{'a': 0.002, 'e': 0.7482635675785653}",25,13,-6.351451972133986,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.002, 'e': 0.7467685359733571}",25,7,-80.62976259511095,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 1}",1
148,False,"{'a': 0.002, 'e': 0.7452764914432887}",30,19,9.376532440549795,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.002, 'e': 0.7437874280201796}",20,0,-90.34166333573025,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
150,False,"{'a': 0.002, 'e': 0.7423013397477743}",25,0,-174.90352557846919,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
151,False,"{'a': 0.002, 'e': 0.7408182206817179}",20,1,-115.00171059869193,"{0: 7, 1: 4, 2: 6, 3: 2, 4: 0}",1
152,False,"{'a': 0.002, 'e': 0.7393380648895319}",20,12,-16.642606188925278,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
153,False,"{'a': 0.002, 'e': 0.7378608664505911}",25,0,-109.8187922821259,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
154,False,"{'a': 0.002, 'e': 0.7363866194561001}",25,0,-123.50963519832078,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
155,False,"{'a': 0.002, 'e': 0.7349153180090687}",25,16,-35.42764904435775,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
156,False,"{'a': 0.002, 'e': 0.7334469562242892}",20,6,-58.77801049719397,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
157,False,"{'a': 0.002, 'e': 0.7319815282283126}",20,0,-73.95012983849676,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
158,False,"{'a': 0.002, 'e': 0.7305190281594249}",25,0,-101.358826849317,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
159,False,"{'a': 0.002, 'e': 0.7290594501676237}",30,10,3.400980979975831,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.002, 'e': 0.7276027884145955}",20,8,-10.781751960445641,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.002, 'e': 0.7261490370736909}",25,18,9.992005104889579,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.002, 'e': 0.7246981903299029}",30,0,-158.97127797895746,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
163,False,"{'a': 0.002, 'e': 0.7232502423798424}",25,0,-9.7939308918775,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
164,False,"{'a': 0.002, 'e': 0.7218051874317158}",25,0,-40.789317125192845,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
165,False,"{'a': 0.002, 'e': 0.7203630197053014}",20,3,-20.32649890904348,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
166,False,"{'a': 0.002, 'e': 0.7189237334319262}",25,9,-153.9770597641452,"{0: 7, 1: 1, 2: 4, 3: 2, 4: 2}",1
167,False,"{'a': 0.002, 'e': 0.7174873228544433}",20,0,-96.42233124621163,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
168,False,"{'a': 0.002, 'e': 0.7160537822272085}",25,16,-7.187200631504298,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
169,False,"{'a': 0.002, 'e': 0.7146231058160573}",20,5,-1.3543378550681482,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.002, 'e': 0.7131952878982822}",20,1,-70.13311898416268,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 1}",1
171,False,"{'a': 0.002, 'e': 0.7117703227626097}",35,0,-166.9294404919837,"{0: 22, 1: 5, 2: 5, 3: 0, 4: 3}",0
